City,Zip_Code,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label
Los_Angeles,90003,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed_check,53.85,108.15,Yes
Los_Angeles,90005,Female,No,No,Yes,2,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,70.7,151.65,Yes
Los_Angeles,90006,Female,No,No,Yes,8,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,99.65,820.5,Yes
Los_Angeles,90010,Female,No,Yes,Yes,28,Yes,Yes,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic_check,104.8,3046.05,Yes
Los_Angeles,90015,Male,No,No,Yes,49,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank_transfer_(automatic),103.7,5036.3,Yes
Los_Angeles,90020,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit_card_(automatic),55.2,528.35,Yes
Los_Angeles,90022,Male,Yes,No,No,1,No,No_phone_service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic_check,39.65,39.65,Yes
Los_Angeles,90024,Male,No,No,No,1,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Mailed_check,20.15,20.15,Yes
Los_Angeles,90028,Male,No,Yes,Yes,47,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic_check,99.35,4749.15,Yes
Los_Angeles,90029,Male,No,Yes,No,1,No,No_phone_service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic_check,30.2,30.2,Yes
Los_Angeles,90032,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed_check,64.7,1093.1,Yes
Los_Angeles,90039,Male,No,No,Yes,5,Yes,No,Fiber_optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic_check,69.7,316.9,Yes
Los_Angeles,90041,Male,No,No,Yes,34,Yes,Yes,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic_check,106.35,3549.25,Yes
Los_Angeles,90042,Female,No,No,Yes,11,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank_transfer_(automatic),97.85,1105.4,Yes
Los_Angeles,90056,Female,No,No,Yes,2,Yes,No,Fiber_optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic_check,80.65,144.15,Yes
